Target,Function Target,Number of Alpha Carbons in Target,Distance,Reference
target_7CQV_ca,,155,0.8715836854436052,ref_Geodia_cydonium_CRCL_1_filtered_Ca
target_7KVX_ca,,159,0.8717790521464787,ref_Stylophora_pistillata_CRCL_7_filtered_Ca
target_6LTK_ca,,174,0.8734785267050266,ref_Gallus_gallus_CRCL_7_all_Ca
target_7PO9_ca,,138,0.8737144574378832,ref_Xenopus_tropicalis_CRCL_6_filtered_Ca
target_7PO9_ca,,144,0.8742570194647713,ref_Amphimedon_queenslandica_CRCL_3_filtered_Ca
target_6XZV_ca,,184,0.8744444002261004,ref_Stylophora_pistillata_CRCL_8_all_Ca
target_7PO9_ca,,160,0.8746434962719585,ref_Oscarella_pearsei_CRCL_1_filtered_Ca
target_7CQV_ca,,142,0.8747360923785141,ref_Gallus_gallus_CRCL_4_filtered_Ca
target_7PO9_ca,,155,0.8752895586475519,ref_Geodia_cydonium_CRCL_1_filtered_Ca
target_7KVX_ca,,138,0.8767669831160643,ref_Hydra_vulgaris_CRCL_5_filtered_Ca
target_7CQV_ca,,156,0.8772718218981047,ref_Hydra_vulgaris_CRCL_2_filtered_Ca
target_7CQV_ca,,170,0.8781126304994861,ref_Xenopus_tropicalis_CRCL_7_filtered_Ca
target_7CQV_ca,,179,0.8781379297079599,ref_Xenopus_tropicalis_CRCL_1_filtered_Ca
target_7PO9_ca,,144,0.8781805821008137,ref_Strongylocentrotus_purpuratus_CRCL_1_filtered_Ca
target_7Y8D_ca,,160,0.8783038347558739,ref_Oscarella_pearsei_CRCL_1_filtered_Ca
target_7Y8D_ca,,162,0.878409186523941,ref_Danio_rerio_CRCL_6_filtered_Ca
target_6XZK_ca,,184,0.8786653466407778,ref_Stylophora_pistillata_CRCL_8_all_Ca
target_8GYN_ca,,181,0.8787309636946182,ref_Gallus_gallus_CRCL_6_filtered_Ca
target_7CIX_ca,,181,0.8788868106037256,ref_Gallus_gallus_CRCL_6_filtered_Ca
target_6VJ9_ca,,176,0.8793204699909689,ref_Danio_rerio_CRCL_10_filtered_Ca
